channel,timestamp,text,media_path,sender_id,cleaned_text,tokens
@ZemenExpress,2025-06-23 08:23:14+00:00,"💥💥...................................💥💥

📌Food mould Tool

👍ስድስት አይነት ቅርጽ

ዋጋ፦  💵🏷 700 ብር

♦️ውስን ፍሬ ነው ያለው🔥🔥🔥

🏢 አድራሻ👉

📍♦️#መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ ቢሮ ቁ. S05/S06


     💧💧💧💧


    📲 0902660722
    📲 0928460606 

🔖
💬በTelegram ለማዘዝ ⤵️ ይጠቀሙ🔽

@zemencallcenter 

@zemenexpressadmin

ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://telegram.me/zemenexpress

💥💥...................................💥💥",images/ZemenExpress_6995.jpg,-1001307493052,................................... food mould tool ስድስት አይነት ቅርጽ ዋጋ፦ 700 ብር ውስን ፍሬ ነው ያለው አድራሻ #መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ ቢሮ ቁ. s05/s06 0902660722 0928460606 በtelegram ለማዘዝ ይጠቀሙ @zemencallcenter @zemenexpressadmin ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን https://telegram.me/zemenexpress ...................................,"['...................................', 'food', 'mould', 'tool', 'ስድስት', 'አይነት', 'ቅርጽ', 'ዋጋ፦', '700', 'ብር', 'ውስን', 'ፍሬ', 'ነው', 'ያለው', 'አድራሻ', '#', 'መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ', 'ቢሮ', 'ቁ.', 's05/s06', '0902660722', '0928460606', 'በtelegram', 'ለማዘዝ', 'ይጠቀሙ', '@', 'zemencallcenter', '@', 'zemenexpressadmin', 'ለተጨማሪ', 'ማብራሪያ', 'የቴሌግራም', 'ገፃችን', 'https', ':', '//telegram.me/zemenexpress', '...................................']"
@ZemenExpress,2025-06-21 16:35:51+00:00,"💥💥...................................💥💥

📌Saachi Electric Kettle

👍Borosilicate Glass Body
👍Overheat protection
👍Automatic switch off
👍2200w

ዋጋ፦  💲🏷 2700  ብር ✅

♦️ውስን ፍሬ ነው ያለው🔥🔥🔥

🏢 አድራሻ👉

📍♦️#መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ ቢሮ ቁ. S05/S06


     💧💧💧💧


    📲 0902660722
    📲 0928460606 

🔖
💬በTelegram ለማዘዝ ⤵️ ይጠቀሙ🔽

@zemencallcenter 

@zemenexpressadmin

ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://telegram.me/zemenexpress

💥💥...................................💥💥",images/ZemenExpress_6991.jpg,-1001307493052,................................... saachi electric kettle borosilicate glass body overheat protection automatic switch off 2200w ዋጋ፦ 2700 ብር ውስን ፍሬ ነው ያለው አድራሻ #መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ ቢሮ ቁ. s05/s06 0902660722 0928460606 በtelegram ለማዘዝ ይጠቀሙ @zemencallcenter @zemenexpressadmin ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን https://telegram.me/zemenexpress ...................................,"['...................................', 'saachi', 'electric', 'kettle', 'borosilicate', 'glass', 'body', 'overheat', 'protection', 'automatic', 'switch', 'off', '2200w', 'ዋጋ፦', '2700', 'ብር', 'ውስን', 'ፍሬ', 'ነው', 'ያለው', 'አድራሻ', '#', 'መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ', 'ቢሮ', 'ቁ.', 's05/s06', '0902660722', '0928460606', 'በtelegram', 'ለማዘዝ', 'ይጠቀሙ', '@', 'zemencallcenter', '@', 'zemenexpressadmin', 'ለተጨማሪ', 'ማብራሪያ', 'የቴሌግራም', 'ገፃችን', 'https', ':', '//telegram.me/zemenexpress', '...................................']"
@ethio_brand_collection,2025-06-22 06:27:39+00:00,"‼️ እሁድ ሁሌም ክፍት ነን ‼️

Reebok Club Vintage   
size 40,41,42,43
Price 3300 birr
📌አድራሻ-ሜክሲኮ ኮሜርስ ጀርባ መዚድ ፕላዛ የመጀመሪያ ደረጃ እንደወጡ 101 የቢሮ ቁጥር ያገኙናል or call 0920238243
                                    EthioBrand ✅",images/ethio_brand_collection_6117.jpg,-1001149977975,"እሁድ ሁሌም ክፍት ነን reebok club vintage size 40,41,42,43 price 3300 birr አድራሻ-ሜክሲኮ ኮሜርስ ጀርባ መዚድ ፕላዛ የመጀመሪያ ደረጃ እንደወጡ 101 የቢሮ ቁጥር ያገኙናል or call 0920238243 ethiobrand","['እሁድ', 'ሁሌም', 'ክፍት', 'ነን', 'reebok', 'club', 'vintage', 'size', '40,41,42,43', 'price', '3300', 'birr', 'አድራሻ-ሜክሲኮ', 'ኮሜርስ', 'ጀርባ', 'መዚድ', 'ፕላዛ', 'የመጀመሪያ', 'ደረጃ', 'እንደወጡ', '101', 'የቢሮ', 'ቁጥር', 'ያገኙናል', 'or', 'call', '0920238243', 'ethiobrand']"
@ethio_brand_collection,2025-06-16 09:01:34+00:00,"Skechers archfit 
size 40,41,42,43
Price 3400 birr
📌አድራሻ-ሜክሲኮ ኮሜርስ ጀርባ መዚድ ፕላዛ የመጀመሪያ ደረጃ እንደወጡ 101 የቢሮ ቁጥር ያገኙናል or call 0920238243
                                    EthioBrand ✅",images/ethio_brand_collection_6116.jpg,-1001149977975,"skechers archfit size 40,41,42,43 price 3400 birr አድራሻ-ሜክሲኮ ኮሜርስ ጀርባ መዚድ ፕላዛ የመጀመሪያ ደረጃ እንደወጡ 101 የቢሮ ቁጥር ያገኙናል or call 0920238243 ethiobrand","['skechers', 'archfit', 'size', '40,41,42,43', 'price', '3400', 'birr', 'አድራሻ-ሜክሲኮ', 'ኮሜርስ', 'ጀርባ', 'መዚድ', 'ፕላዛ', 'የመጀመሪያ', 'ደረጃ', 'እንደወጡ', '101', 'የቢሮ', 'ቁጥር', 'ያገኙናል', 'or', 'call', '0920238243', 'ethiobrand']"
@ethio_brand_collection,2025-06-15 09:20:06+00:00,"‼️ እሁድ ሁሌም ክፍት ነን ‼️

NB 04 leather  
Size 39,40,41,42,43,44
Price 4500 birr
📌አድራሻ-ሜክሲኮ ኮሜርስ ጀርባ መዚድ ፕላዛ የመጀመሪያ ደረጃ እንደወጡ 101 የቢሮ ቁጥር ያገኙናል or call 0920238243
                                    EthioBrand ✅",images/ethio_brand_collection_6115.jpg,-1001149977975,"እሁድ ሁሌም ክፍት ነን nb 04 leather size 39,40,41,42,43,44 price 4500 birr አድራሻ-ሜክሲኮ ኮሜርስ ጀርባ መዚድ ፕላዛ የመጀመሪያ ደረጃ እንደወጡ 101 የቢሮ ቁጥር ያገኙናል or call 0920238243 ethiobrand","['እሁድ', 'ሁሌም', 'ክፍት', 'ነን', 'nb', '04', 'leather', 'size', '39,40,41,42,43,44', 'price', '4500', 'birr', 'አድራሻ-ሜክሲኮ', 'ኮሜርስ', 'ጀርባ', 'መዚድ', 'ፕላዛ', 'የመጀመሪያ', 'ደረጃ', 'እንደወጡ', '101', 'የቢሮ', 'ቁጥር', 'ያገኙናል', 'or', 'call', '0920238243', 'ethiobrand']"
@ethio_brand_collection,2025-06-14 09:04:17+00:00,"Nike Air Force Paisley 
Size 40,41,42,43,44
Price 3700 birr
📌አድራሻ-ሜክሲኮ ኮሜርስ ጀርባ መዚድ ፕላዛ የመጀመሪያ ደረጃ እንደወጡ 101 የቢሮ ቁጥር ያገኙናል or call 0920238243       
                                    EthioBrand ✅",images/ethio_brand_collection_6113.jpg,-1001149977975,"nike air force paisley size 40,41,42,43,44 price 3700 birr አድራሻ-ሜክሲኮ ኮሜርስ ጀርባ መዚድ ፕላዛ የመጀመሪያ ደረጃ እንደወጡ 101 የቢሮ ቁጥር ያገኙናል or call 0920238243 ethiobrand","['nike', 'air', 'force', 'paisley', 'size', '40,41,42,43,44', 'price', '3700', 'birr', 'አድራሻ-ሜክሲኮ', 'ኮሜርስ', 'ጀርባ', 'መዚድ', 'ፕላዛ', 'የመጀመሪያ', 'ደረጃ', 'እንደወጡ', '101', 'የቢሮ', 'ቁጥር', 'ያገኙናል', 'or', 'call', '0920238243', 'ethiobrand']"
@ethio_brand_collection,2025-06-14 06:40:06+00:00,"Skechers GY ULTRA
Size 40,41,42,43,44
Price 3400 birr
📌አድራሻ-ሜክሲኮ ኮሜርስ ጀርባ መዚድ ፕላዛ የመጀመሪያ ደረጃ እንደወጡ 101 የቢሮ ቁጥር ያገኙናል or call 0920238243       
                                    EthioBrand ✅",images/ethio_brand_collection_6112.jpg,-1001149977975,"skechers gy ultra size 40,41,42,43,44 price 3400 birr አድራሻ-ሜክሲኮ ኮሜርስ ጀርባ መዚድ ፕላዛ የመጀመሪያ ደረጃ እንደወጡ 101 የቢሮ ቁጥር ያገኙናል or call 0920238243 ethiobrand","['skechers', 'gy', 'ultra', 'size', '40,41,42,43,44', 'price', '3400', 'birr', 'አድራሻ-ሜክሲኮ', 'ኮሜርስ', 'ጀርባ', 'መዚድ', 'ፕላዛ', 'የመጀመሪያ', 'ደረጃ', 'እንደወጡ', '101', 'የቢሮ', 'ቁጥር', 'ያገኙናል', 'or', 'call', '0920238243', 'ethiobrand']"
@ethio_brand_collection,2025-06-13 09:02:24+00:00,"Adidas Samba OG 
size 40,41,42,43
Price 3600 birr
📌አድራሻ-ሜክሲኮ ኮሜርስ ጀርባ መዚድ ፕላዛ የመጀመሪያ ደረጃ እንደወጡ 101 የቢሮ ቁጥር ያገኙናል or call 0920238243
                                    EthioBrand ✅",images/ethio_brand_collection_6111.jpg,-1001149977975,"adidas samba og size 40,41,42,43 price 3600 birr አድራሻ-ሜክሲኮ ኮሜርስ ጀርባ መዚድ ፕላዛ የመጀመሪያ ደረጃ እንደወጡ 101 የቢሮ ቁጥር ያገኙናል or call 0920238243 ethiobrand","['adidas', 'samba', 'og', 'size', '40,41,42,43', 'price', '3600', 'birr', 'አድራሻ-ሜክሲኮ', 'ኮሜርስ', 'ጀርባ', 'መዚድ', 'ፕላዛ', 'የመጀመሪያ', 'ደረጃ', 'እንደወጡ', '101', 'የቢሮ', 'ቁጥር', 'ያገኙናል', 'or', 'call', '0920238243', 'ethiobrand']"
@ethio_brand_collection,2025-06-13 06:02:37+00:00,"Colombia vibram 
Size 40,41,42,43
Price 3700 birr
📌አድራሻ-ሜክሲኮ ኮሜርስ ጀርባ መዚድ ፕላዛ የመጀመሪያ ደረጃ እንደወጡ 101 የቢሮ ቁጥር ያገኙናል or call 0920238243
                                    EthioBrand ✅",images/ethio_brand_collection_6110.jpg,-1001149977975,"colombia vibram size 40,41,42,43 price 3700 birr አድራሻ-ሜክሲኮ ኮሜርስ ጀርባ መዚድ ፕላዛ የመጀመሪያ ደረጃ እንደወጡ 101 የቢሮ ቁጥር ያገኙናል or call 0920238243 ethiobrand","['colombia', 'vibram', 'size', '40,41,42,43', 'price', '3700', 'birr', 'አድራሻ-ሜክሲኮ', 'ኮሜርስ', 'ጀርባ', 'መዚድ', 'ፕላዛ', 'የመጀመሪያ', 'ደረጃ', 'እንደወጡ', '101', 'የቢሮ', 'ቁጥር', 'ያገኙናል', 'or', 'call', '0920238243', 'ethiobrand']"
@ethio_brand_collection,2025-06-12 06:28:12+00:00,"Skechers Delux Walker  
Size 40,41,42,43
Price 3800 birr
📌አድራሻ-ሜክሲኮ ኮሜርስ ጀርባ መዚድ ፕላዛ የመጀመሪያ ደረጃ እንደወጡ 101 የቢሮ ቁጥር ያገኙናል or call 0920238243
                                    EthioBrand ✅",images/ethio_brand_collection_6109.jpg,-1001149977975,"skechers delux walker size 40,41,42,43 price 3800 birr አድራሻ-ሜክሲኮ ኮሜርስ ጀርባ መዚድ ፕላዛ የመጀመሪያ ደረጃ እንደወጡ 101 የቢሮ ቁጥር ያገኙናል or call 0920238243 ethiobrand","['skechers', 'delux', 'walker', 'size', '40,41,42,43', 'price', '3800', 'birr', 'አድራሻ-ሜክሲኮ', 'ኮሜርስ', 'ጀርባ', 'መዚድ', 'ፕላዛ', 'የመጀመሪያ', 'ደረጃ', 'እንደወጡ', '101', 'የቢሮ', 'ቁጥር', 'ያገኙናል', 'or', 'call', '0920238243', 'ethiobrand']"
